order_id,customer_id,sku,product_name,category,quantity,unit_price,line_value,margin
ORD_0001,CUST_001,SPIR003,Rum Gold 750ml,Rum,78,22.0,1716.0,0.42
ORD_0001,CUST_001,SPIR006,Brandy 750ml,Brandy,2,32.0,64.0,0.47
ORD_0001,CUST_001,WINE004,Rose Wine 750ml,Rose,6,10.0,60.0,0.4
ORD_0001,CUST_001,WINE003,Sparkling Wine 750ml,Sparkling,1,18.0,18.0,0.55
ORD_0001,CUST_001,BEER004,Wheat Beer 473ml,Wheat,1,4.5,4.5,0.38
ORD_0001,CUST_001,BEER003,Light Beer 355ml,Light,1,3.0,3.0,0.3
ORD_0001,CUST_001,NAB004,Soda Cola 355ml,Soda,1,1.8,1.8,0.25
ORD_0001,CUST_001,BEER006,Stout 355ml,Stout,1,4.8,4.8,0.42
ORD_0002,CUST_001,NAB002,Energy Drink 250ml,Energy,230,2.5,575.0,0.35
ORD_0002,CUST_001,BEER005,Pilsner 330ml,Pilsner,629,3.2,2012.8,0.32
ORD_0002,CUST_001,SPIR002,Whiskey 750ml,Whiskey,14,35.0,490.0,0.5
ORD_0003,CUST_001,SPIR004,Gin Premium 750ml,Gin,71,28.0,1988.0,0.46
ORD_0003,CUST_001,BEER001,Premium Lager 355ml,Premium,34,3.5,119.0,0.35
ORD_0003,CUST_001,BEER005,Pilsner 330ml,Pilsner,228,3.2,729.6,0.32
ORD_0003,CUST_001,NAB003,Juice Orange 1L,Juice,34,3.0,102.0,0.3
ORD_0003,CUST_001,NAB004,Soda Cola 355ml,Soda,45,1.8,81.0,0.25
ORD_0003,CUST_001,NAB001,Sparkling Water 500ml,Sparkling,10,1.5,15.0,0.4
ORD_0003,CUST_001,BEER007,Pale Ale 473ml,Pale,3,4.75,14.25,0.41
ORD_0003,CUST_001,BEER008,Amber Ale 355ml,Amber,2,4.2,8.4,0.37
ORD_0004,CUST_001,BEER006,Stout 355ml,Stout,284,4.8,1363.2,0.42
ORD_0004,CUST_001,NAB001,Sparkling Water 500ml,Sparkling,26,1.5,39.0,0.4
ORD_0004,CUST_001,SPIR004,Gin Premium 750ml,Gin,1,28.0,28.0,0.46
ORD_0004,CUST_001,WINE003,Sparkling Wine 750ml,Sparkling,1,18.0,18.0,0.55
ORD_0004,CUST_001,NAB002,Energy Drink 250ml,Energy,5,2.5,12.5,0.35
ORD_0004,CUST_001,WINE001,Red Wine Premium 750ml,Red,1,15.0,15.0,0.5
ORD_0004,CUST_001,NAB004,Soda Cola 355ml,Soda,1,1.8,1.8,0.25
ORD_0005,CUST_001,BEER007,Pale Ale 473ml,Pale,232,4.75,1102.0,0.41
ORD_0005,CUST_001,WINE004,Rose Wine 750ml,Rose,11,10.0,110.0,0.4
ORD_0005,CUST_001,NAB001,Sparkling Water 500ml,Sparkling,14,1.5,21.0,0.4
ORD_0005,CUST_001,BEER005,Pilsner 330ml,Pilsner,8,3.2,25.6,0.32
ORD_0005,CUST_001,SPIR005,Tequila Silver 750ml,Tequila,3,30.0,90.0,0.48
ORD_0005,CUST_001,SPIR003,Rum Gold 750ml,Rum,3,22.0,66.0,0.42
ORD_0005,CUST_001,SPIR006,Brandy 750ml,Brandy,1,32.0,32.0,0.47
ORD_0005,CUST_001,WINE003,Sparkling Wine 750ml,Sparkling,2,18.0,36.0,0.55
ORD_0006,CUST_001,SPIR004,Gin Premium 750ml,Gin,87,28.0,2436.0,0.46
ORD_0006,CUST_001,WINE004,Rose Wine 750ml,Rose,10,10.0,100.0,0.4
ORD_0006,CUST_001,WINE001,Red Wine Premium 750ml,Red,15,15.0,225.0,0.5
ORD_0006,CUST_001,BEER003,Light Beer 355ml,Light,2,3.0,6.0,0.3
ORD_0006,CUST_001,SPIR003,Rum Gold 750ml,Rum,1,22.0,22.0,0.42
ORD_0006,CUST_001,WINE002,White Wine 750ml,White,1,12.0,12.0,0.45
ORD_0006,CUST_001,NAB002,Energy Drink 250ml,Energy,1,2.5,2.5,0.35
ORD_0007,CUST_001,BEER006,Stout 355ml,Stout,386,4.8,1852.8,0.42
ORD_0008,CUST_001,SPIR002,Whiskey 750ml,Whiskey,7,35.0,245.0,0.5
ORD_0008,CUST_001,BEER006,Stout 355ml,Stout,259,4.8,1243.2,0.42
ORD_0009,CUST_001,BEER005,Pilsner 330ml,Pilsner,357,3.2,1142.4,0.32
ORD_0009,CUST_001,BEER003,Light Beer 355ml,Light,27,3.0,81.0,0.3
ORD_0009,CUST_001,WINE001,Red Wine Premium 750ml,Red,1,15.0,15.0,0.5
ORD_0009,CUST_001,WINE002,White Wine 750ml,White,1,12.0,12.0,0.45
ORD_0009,CUST_001,NAB003,Juice Orange 1L,Juice,1,3.0,3.0,0.3
ORD_0009,CUST_001,NAB005,Water Mineral 500ml,Water,1,1.2,1.2,0.2
ORD_0009,CUST_001,WINE004,Rose Wine 750ml,Rose,1,10.0,10.0,0.4
ORD_0009,CUST_001,BEER008,Amber Ale 355ml,Amber,1,4.2,4.2,0.37
ORD_0010,CUST_001,BEER007,Pale Ale 473ml,Pale,379,4.75,1800.25,0.41
ORD_0010,CUST_001,SPIR002,Whiskey 750ml,Whiskey,2,35.0,70.0,0.5
ORD_0010,CUST_001,SPIR001,Premium Vodka 750ml,Premium,4,25.0,100.0,0.45
ORD_0011,CUST_001,NAB001,Sparkling Water 500ml,Sparkling,1617,1.5,2425.5,0.4
ORD_0012,CUST_001,BEER006,Stout 355ml,Stout,488,4.8,2342.4,0.42
ORD_0012,CUST_001,BEER005,Pilsner 330ml,Pilsner,4,3.2,12.8,0.32
ORD_0013,CUST_001,BEER001,Premium Lager 355ml,Premium,172,3.5,602.0,0.35
ORD_0013,CUST_001,BEER006,Stout 355ml,Stout,1,4.8,4.8,0.42
ORD_0013,CUST_001,SPIR003,Rum Gold 750ml,Rum,1,22.0,22.0,0.42
ORD_0013,CUST_001,BEER007,Pale Ale 473ml,Pale,31,4.75,147.25,0.41
ORD_0014,CUST_001,BEER005,Pilsner 330ml,Pilsner,285,3.2,912.0,0.32
ORD_0014,CUST_001,BEER008,Amber Ale 355ml,Amber,16,4.2,67.2,0.37
ORD_0014,CUST_001,WINE004,Rose Wine 750ml,Rose,44,10.0,440.0,0.4
ORD_0014,CUST_001,SPIR002,Whiskey 750ml,Whiskey,1,35.0,35.0,0.5
ORD_0014,CUST_001,NAB004,Soda Cola 355ml,Soda,51,1.8,91.8,0.25
ORD_0014,CUST_001,SPIR001,Premium Vodka 750ml,Premium,4,25.0,100.0,0.45
ORD_0014,CUST_001,NAB005,Water Mineral 500ml,Water,19,1.2,22.8,0.2
ORD_0014,CUST_001,NAB003,Juice Orange 1L,Juice,5,3.0,15.0,0.3
ORD_0015,CUST_002,BEER002,Craft IPA 473ml,Craft,240,5.0,1200.0,0.4
ORD_0015,CUST_002,SPIR004,Gin Premium 750ml,Gin,12,28.0,336.0,0.46
ORD_0015,CUST_002,SPIR003,Rum Gold 750ml,Rum,28,22.0,616.0,0.42
ORD_0015,CUST_002,SPIR001,Premium Vodka 750ml,Premium,2,25.0,50.0,0.45
ORD_0015,CUST_002,NAB003,Juice Orange 1L,Juice,3,3.0,9.0,0.3
ORD_0015,CUST_002,BEER001,Premium Lager 355ml,Premium,7,3.5,24.5,0.35
ORD_0015,CUST_002,WINE004,Rose Wine 750ml,Rose,1,10.0,10.0,0.4
ORD_0015,CUST_002,WINE003,Sparkling Wine 750ml,Sparkling,1,18.0,18.0,0.55
ORD_0016,CUST_002,WINE001,Red Wine Premium 750ml,Red,133,15.0,1995.0,0.5
ORD_0016,CUST_002,BEER008,Amber Ale 355ml,Amber,12,4.2,50.4,0.37
ORD_0016,CUST_002,BEER002,Craft IPA 473ml,Craft,1,5.0,5.0,0.4
ORD_0016,CUST_002,NAB005,Water Mineral 500ml,Water,1,1.2,1.2,0.2
ORD_0016,CUST_002,WINE004,Rose Wine 750ml,Rose,1,10.0,10.0,0.4
ORD_0017,CUST_002,BEER005,Pilsner 330ml,Pilsner,682,3.2,2182.4,0.32
ORD_0017,CUST_002,BEER003,Light Beer 355ml,Light,11,3.0,33.0,0.3
ORD_0017,CUST_002,SPIR004,Gin Premium 750ml,Gin,5,28.0,140.0,0.46
ORD_0017,CUST_002,BEER007,Pale Ale 473ml,Pale,1,4.75,4.75,0.41
ORD_0018,CUST_002,BEER007,Pale Ale 473ml,Pale,13,4.75,61.75,0.41
ORD_0018,CUST_002,BEER008,Amber Ale 355ml,Amber,22,4.2,92.4,0.37
ORD_0018,CUST_002,BEER005,Pilsner 330ml,Pilsner,216,3.2,691.2,0.32
ORD_0019,CUST_002,WINE004,Rose Wine 750ml,Rose,50,10.0,500.0,0.4
ORD_0019,CUST_002,BEER004,Wheat Beer 473ml,Wheat,14,4.5,63.0,0.38
ORD_0019,CUST_002,SPIR005,Tequila Silver 750ml,Tequila,19,30.0,570.0,0.48
ORD_0019,CUST_002,BEER006,Stout 355ml,Stout,17,4.8,81.6,0.42
ORD_0019,CUST_002,WINE002,White Wine 750ml,White,1,12.0,12.0,0.45
ORD_0019,CUST_002,SPIR002,Whiskey 750ml,Whiskey,1,35.0,35.0,0.5
ORD_0019,CUST_002,SPIR004,Gin Premium 750ml,Gin,1,28.0,28.0,0.46
ORD_0020,CUST_002,BEER005,Pilsner 330ml,Pilsner,63,3.2,201.6,0.32
ORD_0020,CUST_002,WINE002,White Wine 750ml,White,79,12.0,948.0,0.45
ORD_0020,CUST_002,BEER003,Light Beer 355ml,Light,28,3.0,84.0,0.3
ORD_0020,CUST_002,WINE003,Sparkling Wine 750ml,Sparkling,12,18.0,216.0,0.55
ORD_0020,CUST_002,BEER008,Amber Ale 355ml,Amber,43,4.2,180.6,0.37
ORD_0020,CUST_002,NAB004,Soda Cola 355ml,Soda,125,1.8,225.0,0.25
ORD_0020,CUST_002,SPIR002,Whiskey 750ml,Whiskey,3,35.0,105.0,0.5
ORD_0020,CUST_002,NAB002,Energy Drink 250ml,Energy,36,2.5,90.0,0.35
ORD_0021,CUST_002,BEER001,Premium Lager 355ml,Premium,235,3.5,822.5,0.35
ORD_0021,CUST_002,WINE003,Sparkling Wine 750ml,Sparkling,66,18.0,1188.0,0.55
ORD_0021,CUST_002,BEER002,Craft IPA 473ml,Craft,11,5.0,55.0,0.4
ORD_0021,CUST_002,WINE004,Rose Wine 750ml,Rose,15,10.0,150.0,0.4
ORD_0022,CUST_003,SPIR004,Gin Premium 750ml,Gin,60,28.0,1680.0,0.46
ORD_0022,CUST_003,BEER008,Amber Ale 355ml,Amber,165,4.2,693.0,0.37
ORD_0022,CUST_003,SPIR005,Tequila Silver 750ml,Tequila,1,30.0,30.0,0.48
ORD_0022,CUST_003,WINE003,Sparkling Wine 750ml,Sparkling,2,18.0,36.0,0.55
ORD_0022,CUST_003,BEER003,Light Beer 355ml,Light,1,3.0,3.0,0.3
ORD_0022,CUST_003,WINE004,Rose Wine 750ml,Rose,2,10.0,20.0,0.4
ORD_0023,CUST_003,NAB004,Soda Cola 355ml,Soda,1809,1.8,3256.2,0.25
ORD_0023,CUST_003,WINE004,Rose Wine 750ml,Rose,17,10.0,170.0,0.4
ORD_0023,CUST_003,SPIR003,Rum Gold 750ml,Rum,27,22.0,594.0,0.42
ORD_0023,CUST_003,NAB001,Sparkling Water 500ml,Sparkling,143,1.5,214.5,0.4
ORD_0024,CUST_003,BEER007,Pale Ale 473ml,Pale,743,4.75,3529.25,0.41
ORD_0025,CUST_003,BEER007,Pale Ale 473ml,Pale,100,4.75,475.0,0.41
ORD_0025,CUST_003,SPIR005,Tequila Silver 750ml,Tequila,23,30.0,690.0,0.48
ORD_0025,CUST_003,BEER001,Premium Lager 355ml,Premium,296,3.5,1036.0,0.35
