order_id,customer_id,order_date,order_value,payment_method,delivery_method
ORD_0001,CUST_001,2025-04-03 00:20:27.804591,1840.39,Debit,Delivery
ORD_0002,CUST_001,2025-04-24 00:20:27.804591,3080.21,PIX,Delivery
ORD_0003,CUST_001,2025-05-08 00:20:27.804591,3057.43,Cash,Pickup
ORD_0004,CUST_001,2025-05-15 00:20:27.804591,1462.58,Credit,Pickup
ORD_0005,CUST_001,2025-06-05 00:20:27.804591,1487.64,Cash,Delivery
ORD_0006,CUST_001,2025-06-19 00:20:27.804591,2776.58,Cash,Pickup
ORD_0007,CUST_001,2025-07-10 00:20:27.804591,1856.46,PIX,Pickup
ORD_0008,CUST_001,2025-07-31 00:20:27.804591,1490.7,Cash,Delivery
ORD_0009,CUST_001,2025-08-14 00:20:27.804591,1226.27,Credit,Delivery
ORD_0010,CUST_001,2025-08-28 00:20:27.804591,1986.18,Cash,Delivery
ORD_0011,CUST_001,2025-09-04 00:20:27.804591,2426.96,Credit,Delivery
ORD_0012,CUST_001,2025-09-25 00:20:27.804591,2357.38,PIX,Delivery
ORD_0013,CUST_001,2025-10-02 00:20:27.804591,778.4,PIX,Delivery
ORD_0014,CUST_001,2025-10-09 00:20:27.804591,1686.25,Cash,Pickup
ORD_0015,CUST_002,2025-04-17 00:20:27.804591,2237.63,Cash,Delivery
ORD_0016,CUST_002,2025-05-22 00:20:27.804591,2047.8,Credit,Pickup
ORD_0017,CUST_002,2025-06-26 00:20:27.804591,2360.42,Cash,Pickup
ORD_0018,CUST_002,2025-07-10 00:20:27.804591,845.93,Debit,Delivery
ORD_0019,CUST_002,2025-08-21 00:20:27.804591,1256.29,PIX,Delivery
ORD_0020,CUST_002,2025-09-18 00:20:27.804591,2050.69,Cash,Pickup
ORD_0021,CUST_002,2025-09-25 00:20:27.804591,2218.81,PIX,Pickup
ORD_0022,CUST_003,2025-05-01 00:20:27.804591,2467.91,PIX,Pickup
ORD_0023,CUST_003,2025-05-15 00:20:27.804591,4235.85,Cash,Pickup
ORD_0024,CUST_003,2025-06-05 00:20:27.804591,3530.05,Cash,Delivery
ORD_0025,CUST_003,2025-06-19 00:20:27.804591,2248.47,PIX,Pickup
ORD_0026,CUST_003,2025-07-17 00:20:27.804591,4139.31,Credit,Delivery
ORD_0027,CUST_003,2025-08-07 00:20:27.804591,2346.83,Debit,Pickup
ORD_0028,CUST_003,2025-08-28 00:20:27.804591,3053.41,Credit,Pickup
ORD_0029,CUST_003,2025-09-04 00:20:27.804591,3330.65,PIX,Delivery
ORD_0030,CUST_003,2025-09-11 00:20:27.804591,2081.7,PIX,Pickup
ORD_0031,CUST_003,2025-09-18 00:20:27.804591,2033.43,Cash,Pickup
ORD_0032,CUST_004,2025-04-24 00:20:27.804591,3257.64,Cash,Pickup
ORD_0033,CUST_004,2025-05-08 00:20:27.804591,2834.18,Debit,Delivery
ORD_0034,CUST_004,2025-05-15 00:20:27.804591,1618.35,Credit,Pickup
ORD_0035,CUST_004,2025-05-22 00:20:27.804591,3725.63,Debit,Delivery
ORD_0036,CUST_004,2025-06-05 00:20:27.804591,870.15,Credit,Delivery
ORD_0037,CUST_004,2025-06-12 00:20:27.804591,2444.65,Cash,Delivery
ORD_0038,CUST_004,2025-06-26 00:20:27.804591,1440.05,PIX,Pickup
ORD_0039,CUST_004,2025-07-24 00:20:27.804591,1115.24,Cash,Delivery
ORD_0040,CUST_004,2025-08-28 00:20:27.804591,3666.41,Cash,Delivery
ORD_0041,CUST_004,2025-10-02 00:20:27.804591,1552.78,Credit,Pickup
ORD_0042,CUST_005,2025-04-10 00:20:27.804591,1277.55,PIX,Delivery
ORD_0043,CUST_005,2025-05-08 00:20:27.804591,2946.61,PIX,Pickup
ORD_0044,CUST_005,2025-05-15 00:20:27.804591,1359.84,Debit,Delivery
ORD_0045,CUST_005,2025-06-12 00:20:27.804591,1366.28,Debit,Pickup
ORD_0046,CUST_005,2025-07-10 00:20:27.804591,1369.33,Debit,Pickup
ORD_0047,CUST_005,2025-07-24 00:20:27.804591,626.56,PIX,Delivery
ORD_0048,CUST_005,2025-08-07 00:20:27.804591,1067.69,Cash,Pickup
ORD_0049,CUST_005,2025-08-14 00:20:27.804591,2112.83,Credit,Delivery
ORD_0050,CUST_005,2025-08-28 00:20:27.804591,2246.41,Debit,Delivery
ORD_0051,CUST_005,2025-09-04 00:20:27.804591,2466.16,Credit,Pickup
ORD_0052,CUST_005,2025-09-11 00:20:27.804591,1990.87,PIX,Pickup
ORD_0053,CUST_005,2025-09-18 00:20:27.804591,1371.02,Credit,Delivery
ORD_0054,CUST_005,2025-09-25 00:20:27.804591,1088.66,Debit,Pickup
ORD_0055,CUST_005,2025-10-09 00:20:27.804591,2967.94,Debit,Pickup
ORD_0056,CUST_005,2025-10-16 00:20:27.804591,1294.5,Debit,Pickup
ORD_0057,CUST_006,2025-06-26 00:20:27.804591,1991.68,Credit,Pickup
ORD_0058,CUST_006,2025-07-10 00:20:27.804591,2336.75,Cash,Delivery
ORD_0059,CUST_006,2025-07-17 00:20:27.804591,1633.17,Debit,Pickup
ORD_0060,CUST_006,2025-07-24 00:20:27.804591,1953.26,Credit,Pickup
ORD_0061,CUST_006,2025-07-31 00:20:27.804591,1588.63,Debit,Delivery
ORD_0062,CUST_006,2025-08-21 00:20:27.804591,1803.91,Debit,Pickup
ORD_0063,CUST_006,2025-09-18 00:20:27.804591,1171.92,Debit,Pickup
ORD_0064,CUST_006,2025-10-09 00:20:27.804591,1524.21,Debit,Pickup
ORD_0065,CUST_007,2025-04-10 00:20:27.804591,2015.95,Cash,Pickup
ORD_0066,CUST_007,2025-04-24 00:20:27.804591,3054.51,Credit,Pickup
ORD_0067,CUST_007,2025-05-08 00:20:27.804591,6111.89,PIX,Delivery
ORD_0068,CUST_007,2025-05-15 00:20:27.804591,2392.97,Debit,Pickup
ORD_0069,CUST_007,2025-06-05 00:20:27.804591,4162.87,Cash,Delivery
ORD_0070,CUST_007,2025-06-19 00:20:27.804591,2604.07,Cash,Pickup
ORD_0071,CUST_007,2025-06-26 00:20:27.804591,5113.77,Cash,Pickup
ORD_0072,CUST_007,2025-07-03 00:20:27.804591,3382.76,Credit,Delivery
ORD_0073,CUST_007,2025-07-17 00:20:27.804591,4864.41,PIX,Pickup
ORD_0074,CUST_007,2025-07-31 00:20:27.804591,1722.74,PIX,Delivery
ORD_0075,CUST_007,2025-08-07 00:20:27.804591,4396.7,Debit,Pickup
ORD_0076,CUST_007,2025-08-14 00:20:27.804591,4077.34,Credit,Delivery
ORD_0077,CUST_007,2025-08-21 00:20:27.804591,2667.69,Debit,Pickup
ORD_0078,CUST_007,2025-08-28 00:20:27.804591,4110.83,Cash,Pickup
ORD_0079,CUST_007,2025-10-09 00:20:27.804591,4244.46,Debit,Pickup
