visit_id,customer_id,visit_date,sales_rep_id,visit_duration,visit_outcome,next_visit_scheduled
VIS_0001,CUST_001,2025-04-30 00:20:27.804591,REP_12,81,Brief,2025-05-14 00:20:27.804591
VIS_0002,CUST_001,2025-05-27 00:20:27.804591,REP_18,36,Long Discussion,2025-06-17 00:20:27.804591
VIS_0003,CUST_001,2025-06-23 00:20:27.804591,REP_16,113,Productive,2025-07-11 00:20:27.804591
VIS_0004,CUST_001,2025-07-20 00:20:27.804591,REP_19,50,Brief,2025-07-29 00:20:27.804591
VIS_0005,CUST_001,2025-08-16 00:20:27.804591,REP_12,30,Long Discussion,2025-08-29 00:20:27.804591
VIS_0006,CUST_001,2025-09-12 00:20:27.804591,REP_03,49,Brief,2025-09-25 00:20:27.804591
VIS_0007,CUST_002,2025-04-03 00:20:27.804591,REP_02,104,Brief,2025-04-11 00:20:27.804591
VIS_0008,CUST_002,2025-04-09 00:20:27.804591,REP_02,102,Productive,2025-04-16 00:20:27.804591
VIS_0009,CUST_002,2025-04-15 00:20:27.804591,REP_04,85,Brief,2025-04-27 00:20:27.804591
VIS_0010,CUST_002,2025-04-27 00:20:27.804591,REP_11,69,Brief,2025-05-08 00:20:27.804591
VIS_0011,CUST_002,2025-05-09 00:20:27.804591,REP_02,42,Brief,2025-05-30 00:20:27.804591
VIS_0012,CUST_002,2025-05-15 00:20:27.804591,REP_09,81,Productive,2025-06-01 00:20:27.804591
VIS_0013,CUST_002,2025-05-27 00:20:27.804591,REP_10,113,Long Discussion,2025-06-05 00:20:27.804591
VIS_0014,CUST_002,2025-06-08 00:20:27.804591,REP_11,53,Long Discussion,2025-06-17 00:20:27.804591
VIS_0015,CUST_002,2025-06-14 00:20:27.804591,REP_18,103,Long Discussion,2025-07-05 00:20:27.804591
VIS_0016,CUST_002,2025-06-26 00:20:27.804591,REP_07,37,Brief,2025-07-15 00:20:27.804591
VIS_0017,CUST_002,2025-07-08 00:20:27.804591,REP_14,80,Brief,2025-07-28 00:20:27.804591
VIS_0018,CUST_002,2025-07-20 00:20:27.804591,REP_04,35,Long Discussion,2025-08-03 00:20:27.804591
VIS_0019,CUST_002,2025-07-26 00:20:27.804591,REP_18,116,Long Discussion,2025-08-08 00:20:27.804591
VIS_0020,CUST_002,2025-08-07 00:20:27.804591,REP_04,93,Productive,2025-08-17 00:20:27.804591
VIS_0021,CUST_002,2025-08-13 00:20:27.804591,REP_09,30,Long Discussion,2025-08-22 00:20:27.804591
VIS_0022,CUST_002,2025-08-19 00:20:27.804591,REP_01,82,Brief,2025-08-28 00:20:27.804591
VIS_0023,CUST_002,2025-08-25 00:20:27.804591,REP_15,83,Brief,2025-09-04 00:20:27.804591
VIS_0024,CUST_002,2025-08-31 00:20:27.804591,REP_19,112,Brief,2025-09-19 00:20:27.804591
VIS_0025,CUST_002,2025-09-06 00:20:27.804591,REP_11,47,Brief,2025-09-23 00:20:27.804591
VIS_0026,CUST_002,2025-09-12 00:20:27.804591,REP_12,37,Brief,2025-09-22 00:20:27.804591
VIS_0027,CUST_002,2025-09-18 00:20:27.804591,REP_16,116,Brief,2025-09-26 00:20:27.804591
VIS_0028,CUST_002,2025-09-24 00:20:27.804591,REP_14,31,Productive,2025-10-09 00:20:27.804591
VIS_0029,CUST_002,2025-09-30 00:20:27.804591,REP_19,75,Productive,2025-10-18 00:20:27.804591
VIS_0030,CUST_002,2025-10-18 00:20:27.804591,REP_16,73,Brief,2025-11-03 00:20:27.804591
